estado,cuenca,subcuenca,estacion,paso
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CFARRUCO(Capilla Farruco),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CFARRUCO(Capilla Farruco),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),EMMELO(E.M. Melo),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),EMMELO(E.M. Melo),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),EMMELO(E.M. Melo),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),EMMELO(E.M. Melo),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),FMUERTO(Fraile Muerto),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),FMUERTO(Fraile Muerto),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),FMUERTO(Fraile Muerto),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),FMUERTO(Fraile Muerto),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),HOSPITAL(Hospital),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),HOSPITAL(Hospital),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),HOSPITAL(Hospital),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),HOSPITAL(Hospital),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),LAGUNAII(Laguna II),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),LAGUNAII(Laguna II),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),LAGUNAII(Laguna II),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),LAGUNAII(Laguna II),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),LJUNCO(Laguna del Junco),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),LJUNCO(Laguna del Junco),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),LJUNCO(Laguna del Junco),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),LJUNCO(Laguna del Junco),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),MANGRU(Mangrullo),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),MANGRU(Mangrullo),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),MANGRU(Mangrullo),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),MANGRU(Mangrullo),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),NOBLIA(Pueblo Noblia),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),NOBLIA(Pueblo Noblia),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),NOBLIA(Pueblo Noblia),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),NOBLIA(Pueblo Noblia),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PAGUIAR(Paso Aguiar),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PAGUIAR(Paso Aguiar),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PAGUIAR(Paso Aguiar),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PAGUIAR(Paso Aguiar),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PALLERO(Palleros),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PALLERO(Palleros),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PALLERO(Palleros),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PALLERO(Palleros),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PARBOL(Arbolito (Pereira)),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PARBOL(Arbolito (Pereira)),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PARBOL(Arbolito (Pereira)),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PARBOL(Arbolito (Pereira)),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PCARROS(Paso de los Carros),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PCARROS(Paso de los Carros),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PCARROS(Paso de los Carros),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PCARROS(Paso de los Carros),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PLPIEDRAS(Paso Las Piedras),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PLPIEDRAS(Paso Las Piedras),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PLPIEDRAS(Paso Las Piedras),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PLPIEDRAS(Paso Las Piedras),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PMAZAN(Paso Mazangano),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PMAZAN(Paso Mazangano),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PMAZAN(Paso Mazangano),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PMAZAN(Paso Mazangano),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PPEREI(Paso Pereira),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PPEREI(Paso Pereira),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PPEREI(Paso Pereira),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PPEREI(Paso Pereira),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PRAMIR(Paso Ramírez),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PRAMIR(Paso Ramírez),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PRAMIR(Paso Ramírez),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PRAMIR(Paso Ramírez),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PYEGUAS(Paso de las Yeguas),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PYEGUAS(Paso de las Yeguas),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PYEGUAS(Paso de las Yeguas),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PYEGUAS(Paso de las Yeguas),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),QUEBRA(Quebracho),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),QUEBRA(Quebracho),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),QUEBRA(Quebracho),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),QUEBRA(Quebracho),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),SDIEGO(San Diego),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),SDIEGO(San Diego),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),SDIEGO(San Diego),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),SDIEGO(San Diego),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),TBOLICHE(Tres Boliches),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),TBOLICHE(Tres Boliches),MAZAN(Mazangano)
