cuenca,subcuenca,estacion
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),TRANQUE(Tranqueras)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),VEDEN(Valle Edén)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),VICHA(Vichadero)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),CARDONA(Cardona)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),CORRAL(Corralito)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),CPERDIDO(Cuchilla del Perdido)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),ELTALA(El Tala)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),EMTRINI(E.M. Trinidad)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),MARIN(Marincho)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),PLUGO(Paso de Lugo)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),PSAUCE(Puntas del Sauce)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),RODO(Rodó)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),SADELA(Santa Adelaida)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),SCATAL(Santa Catalina)
PALMAR(Central Constitución),SRIOYI(Río Yí),BARRAPORON(Barra de Porongos)
PALMAR(Central Constitución),SRIOYI(Río Yí),CCHATO(Cerro Chato)
PALMAR(Central Constitución),SRIOYI(Río Yí),CCOLOR(Cerro Colorado)
PALMAR(Central Constitución),SRIOYI(Río Yí),CHAMANGA(Chamangá)
PALMAR(Central Constitución),SRIOYI(Río Yí),CRRIUS(Col. Rossell y Rius)
PALMAR(Central Constitución),SRIOYI(Río Yí),DGALLINAL(Dr. Gallinal)
PALMAR(Central Constitución),SRIOYI(Río Yí),EMDURAZ(E.M. Durazno)
PALMAR(Central Constitución),SRIOYI(Río Yí),EMTRINI(E.M. Trinidad)
PALMAR(Central Constitución),SRIOYI(Río Yí),FELICIANO(Feliciano)
PALMAR(Central Constitución),SRIOYI(Río Yí),GONI(Goñi)
PALMAR(Central Constitución),SRIOYI(Río Yí),MANSAVI(Mansavillagra)
PALMAR(Central Constitución),SRIOYI(Río Yí),NPEREZ(Nico Perez)
PALMAR(Central Constitución),SRIOYI(Río Yí),PANTANO(Pantanoso)
PALMAR(Central Constitución),SRIOYI(Río Yí),PDELBOTE(Paso del Bote)
PALMAR(Central Constitución),SRIOYI(Río Yí),PINTOS(Pintos)
PALMAR(Central Constitución),SRIOYI(Río Yí),PMACIEL(Puntas de Maciel)
PALMAR(Central Constitución),SRIOYI(Río Yí),POLYI(Polanco del Yi)
PALMAR(Central Constitución),SRIOYI(Río Yí),PORONGOS(Porongos - Aviación)
PALMAR(Central Constitución),SRIOYI(Río Yí),SARGRAN(Sarandí Grande)
PALMAR(Central Constitución),SRIOYI(Río Yí),SARYI(Sarandí del Yi)
PALMAR(Central Constitución),SRIOYI(Río Yí),VCARMEN(Villa Carmen)
